,Professor Name,Professor Prefix,Key Expertise,Languages,Title,Modules
"10,Dr Xi  Li,Dr,""International Accounting, Financial Reporting, Capital Market, CSR"",English,Associate Professor of Accounting,['AC444 Valuation and Security AnalysisCurrent students click here for course information ']"
"11,Dr Pik Liew,Dr,""Accounting, Managerial Accounting, Auditing"",English,Associate Professorial Lecturer – BSc Programme Director,""['AC100 Elements of Accounting and FinanceCurrent students click here for course information', 'AC211 Managerial AccountingCurrent students click here for course information']"""
"12,Dr Nadia  Matring,Dr,""Financial Accounting History, Economic Theory, Risk-management Processes"",""English, French"",Assistant Professor of Accounting,""['AC340 Auditing, Governance and Risk ManagementCurrent students click here for course information']"""
"13,Dr Andrea  Mennicken,Dr,""Global Accounting, Audit Regulation, Standardisation"",""English, German"",""Associate Professor of Accounting, Co-Director of CARR"",""['AC424 Accountability, Organisations and InstitutionsCurrent students click here for more information', 'AC470 Accounting in the Global EconomyCurrent students click here for course information', 'AC500 Accounting, Organisations and InstitutionsCurrent students click here for more information', 'AC502 Foundations of Accounting, Organizations and InstitutionsCurrent students click here for more information']"""
"14, Peter  Mill,Professor,,,Professor of Management Accounting,""['AC424 Accounting, Organisations and InstitutionsCurrent students click herefor course information', 'AC500 Accounting, Organisations and InstitutionsCurrent students click here for more information', 'AC502 Foundations of Accounting, Organizations and InstitutionsCurrent students click here for more information', 'MG414 Foundations of Public Management and GovernanceCurrent students click here for course information ']"""
"15,Dr Julia  Morley,Dr,""Social Impact Measurement, Financial Reporting Regulation"",English,Assistant Professor of Accounting,""['AC342 Accounting, Corporate Responsibility and SustainabilityCurrent students click here for course information']"""
"16, Alexander Nezlobin,Professor,""Equity Valuation, Managerial Performance Measurement, Disclosure"",""English, Russian"",Professor of Accounting,"
"17,Dr Jacob  Ott ,Dr,""Accounting, Financial Institutions, Reporting, Municipal Finance"",English,Assistant Professor of Accounting,['AC100 Elements of Accounting and Finance']"
"18,Dr Tommaso Palerm,Dr,""Risk Regulation, Performance Management Processes, Risk Culture"",English,Assistant Professor of Accounting,""['AC412 Accountability, Organisations and Risk ManagementCurrent students click here for course information', 'AC312 Performance Measurement, Strategy, and UncertaintyCurrent students click here for course information']"""
"19, Michael  Pow,Professor,""Accounting, Risk Management, Valuation Processes in Organizations, Auditing"",English,Professor of Accounting,""['AC412 Accountability, Organisations and Risk ManagementCurrent students click here for more information', 'AC424 Accountability, Organisations and InstitutionsCurrent students click here for more information', 'AC500 Accounting, Organisations and InstitutionsCurrent students click here for more information', 'LL440 Corporate Accountability: Topics in Legal and Accounting RegulationsCurrent students click here for more information']"""
"20,Dr Aneesh Raghunandan,Dr,""Corporate Misconduct, Corporate Social Responsibility, Financial Reporting"",English,Assistant Professor of Accounting,['AC416 Topics in Financial ReportingCurrent students click here for course information']"
"21,Dr Alexandra Sch,Dr,""Financial Misconduct, Regulation, Corporate Governance, Financial Reporting"",English,Assistant Professor of Accounting,""['AC412 - Accountability, Organisations and Risk Management', 'AC470 - Accounting in the Global Economy']"""
"22, Ane  Tamay,Professor,""Accounting, Financial Reporting, Disclosure, CSR"",English,""Head of Department, Professor of Accounting"",""['AC416 Topics in Financial Reporting', 'AC491 Financial Accounting, Reporting and Disclosure', 'AC501 Empirical Financial Accounting and Capital Markets']"""
"23,Dr Oscar Timmerman,Dr,""Contracting, Performance Measurement, Incentive Valuation, Governance"",""Dutch, English"",Assistant Professor of Accounting,['AC311 - Results Accountability and Management Control for Strategy Implementation']"
"24, Wim A Van der Sted,Professor,Accounting,English,""Dean, LSE Extended Education | CIMA Professor of Accounting and Financial Management"",""['AC411 Accounting, Strategy and ControlCurrent students click here for course information']"""
"25,Dr Michelle  van Weeren,Dr,""ESG ratings, analysts, socially responsible investment"",""Dutch, English, French, German"",LSE Fellow,""['AC424 Long Essay Tutor', 'AC411 support and feedback ']"""
"26,Dr Ziang Liu,Dr,""State Building, Wages And Living Standards, History Of Quantification"",""English, French, Mandarin"",ESRC Postdoctoral Fellow,"
